query	target	complex_qTMscore	complex_tTMscore	tstart	tend	RBP-class
RBPPD001	CONT_008_KL53_PROTEIN_1	1.0	0.66	1	263	SU10 tail fiber-like
RBPPD001	LIT_035_KL24_PROTEIN_4	0.88	0.42	126	385	TC5-like tail fiber
RBPPD002	CONT_008_KL53_PROTEIN_1	1.0	0.34	265	400	SU10 tail fiber-like
RBPPD003	LIT_014_KL30_PROTEIN_22	1.0	0.56	1	294	putative esterase containing tailspike
RBPPD003	LIT_086_KL48_PROTEIN_50	0.97	0.55	1	294	putative esterase containing tailspike
RBPPD003	CONT_014_KL53_PROTEIN_39	0.9	0.51	1	293	putative esterase containing tailspike
RBPPD003	CONT_004_KL17_PROTEIN_45	0.89	0.5	1	293	putative esterase containing tailspike
RBPPD004	LIT_014_KL30_PROTEIN_22	1.0	0.43	296	522	putative esterase containing tailspike
RBPPD004	LIT_086_KL48_PROTEIN_50	1.0	0.44	294	521	putative esterase containing tailspike
RBPPD004	CONT_004_KL17_PROTEIN_45	0.99	0.43	295	521	putative esterase containing tailspike
RBPPD004	CONT_014_KL53_PROTEIN_39	0.99	0.43	295	521	putative esterase containing tailspike
RBPPD005	LIT_020_KL103KL55_PROTEIN_160	1.0	0.46	823	1531	TC10-like tail fiber in mydovirus - variant 1
RBPPD006	LIT_020_KL103KL55_PROTEIN_160	1.0	0.33	307	817	TC10-like tail fiber in mydovirus - variant 1
RBPPD007	LIT_020_KL103KL55_PROTEIN_169	1.0	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_076_KL45KL71_PROTEIN_106	1.0	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_021_KL22KL37_PROTEIN_77	0.99	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_073_KL23KL54KL58_PROTEIN_89	0.99	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_074_KL24KL54KL58_PROTEIN_54	0.99	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_075_KL18_PROTEIN_68	0.99	0.27	429	586	TC8 tail fiber
RBPPD007	REC_020_KL23_PROTEIN_40	0.99	0.27	429	586	TC8 tail fiber
RBPPD008	LIT_020_KL103KL55_PROTEIN_169	1.0	0.2	1	120	TC8 tail fiber
RBPPD008	LIT_076_KL45KL71_PROTEIN_106	0.95	0.19	1	120	TC8 tail fiber
RBPPD008	LIT_073_KL23KL54KL58_PROTEIN_89	0.89	0.18	1	120	TC8 tail fiber
RBPPD008	LIT_075_KL18_PROTEIN_68	0.85	0.17	7	120	TC8 tail fiber
RBPPD008	LIT_074_KL24KL54KL58_PROTEIN_54	0.8	0.16	1	120	TC8 tail fiber
RBPPD009	LIT_020_KL103KL55_PROTEIN_169	1.0	0.33	121	311	TC8 tail fiber
RBPPD009	LIT_073_KL23KL54KL58_PROTEIN_89	0.99	0.32	121	311	TC8 tail fiber
RBPPD009	LIT_074_KL24KL54KL58_PROTEIN_54	0.98	0.32	121	309	TC8 tail fiber
RBPPD009	LIT_076_KL45KL71_PROTEIN_106	0.98	0.32	121	311	TC8 tail fiber
RBPPD009	LIT_021_KL22KL37_PROTEIN_77	0.97	0.32	121	309	TC8 tail fiber
RBPPD009	LIT_075_KL18_PROTEIN_68	0.97	0.32	121	307	TC8 tail fiber
RBPPD009	REC_020_KL23_PROTEIN_40	0.97	0.32	121	311	TC8 tail fiber
RBPPD010	LIT_020_KL103KL55_PROTEIN_169	0.99	0.19	316	428	TC8 tail fiber
RBPPD010	LIT_021_KL22KL37_PROTEIN_77	0.98	0.19	316	428	TC8 tail fiber
RBPPD010	LIT_074_KL24KL54KL58_PROTEIN_54	0.98	0.19	316	428	TC8 tail fiber
RBPPD010	LIT_075_KL18_PROTEIN_68	0.98	0.19	316	428	TC8 tail fiber
RBPPD010	LIT_076_KL45KL71_PROTEIN_106	0.98	0.19	316	428	TC8 tail fiber
RBPPD010	REC_020_KL23_PROTEIN_40	0.98	0.19	316	428	TC8 tail fiber
RBPPD010	LIT_073_KL23KL54KL58_PROTEIN_89	0.97	0.19	316	428	TC8 tail fiber
RBPPD011	LIT_021_KL22KL37_PROTEIN_82	0.99	0.22	274	348	vequintavirinae-like short tail fiber
RBPPD011	LIT_020_KL103KL55_PROTEIN_164	0.98	0.22	271	345	vequintavirinae-like short tail fiber
RBPPD011	LIT_073_KL23KL54KL58_PROTEIN_94	0.98	0.21	274	348	vequintavirinae-like short tail fiber
RBPPD011	LIT_074_KL24KL54KL58_PROTEIN_59	0.98	0.21	274	348	vequintavirinae-like short tail fiber
RBPPD011	LIT_075_KL18_PROTEIN_73	0.98	0.21	274	348	vequintavirinae-like short tail fiber
RBPPD011	LIT_076_KL45KL71_PROTEIN_111	0.98	0.21	274	348	vequintavirinae-like short tail fiber
RBPPD011	REC_020_KL23_PROTEIN_45	0.98	0.21	274	348	vequintavirinae-like short tail fiber
RBPPD011	LIT_097_Kn_PROTEIN_46	0.76	0.1	507	573	TC16 tail fiber
RBPPD012	LIT_020_KL103KL55_PROTEIN_164	0.99	0.27	1	95	vequintavirinae-like short tail fiber
RBPPD012	LIT_021_KL22KL37_PROTEIN_82	0.99	0.27	1	95	vequintavirinae-like short tail fiber
RBPPD012	LIT_074_KL24KL54KL58_PROTEIN_59	0.99	0.27	1	95	vequintavirinae-like short tail fiber
RBPPD012	LIT_075_KL18_PROTEIN_73	0.99	0.27	1	95	vequintavirinae-like short tail fiber
RBPPD012	LIT_076_KL45KL71_PROTEIN_111	0.99	0.27	1	95	vequintavirinae-like short tail fiber
RBPPD012	REC_020_KL23_PROTEIN_45	0.99	0.27	1	95	vequintavirinae-like short tail fiber
RBPPD012	LIT_073_KL23KL54KL58_PROTEIN_94	0.98	0.27	1	95	vequintavirinae-like short tail fiber
RBPPD013	LIT_021_KL22KL37_PROTEIN_82	0.99	0.51	97	272	vequintavirinae-like short tail fiber
RBPPD013	LIT_073_KL23KL54KL58_PROTEIN_94	0.99	0.5	97	272	vequintavirinae-like short tail fiber
RBPPD013	LIT_074_KL24KL54KL58_PROTEIN_59	0.99	0.5	97	272	vequintavirinae-like short tail fiber
RBPPD013	LIT_076_KL45KL71_PROTEIN_111	0.99	0.5	97	272	vequintavirinae-like short tail fiber
RBPPD013	REC_020_KL23_PROTEIN_45	0.98	0.5	97	272	vequintavirinae-like short tail fiber
RBPPD013	LIT_020_KL103KL55_PROTEIN_164	0.97	0.5	97	269	vequintavirinae-like short tail fiber
RBPPD013	LIT_075_KL18_PROTEIN_73	0.97	0.5	97	272	vequintavirinae-like short tail fiber
RBPPD014	LIT_020_KL103KL55_PROTEIN_160	0.99	0.09	173	305	TC10-like tail fiber in mydovirus - variant 1
RBPPD014	LIT_076_KL45KL71_PROTEIN_115	0.93	0.11	167	299	TC10-like tail fiber in mydovirus - variant 3
RBPPD014	REC_020_KL23_PROTEIN_50	0.91	0.11	170	300	TC12-like tail fiber in mydovirus
RBPPD014	LIT_074_KL24KL54KL58_PROTEIN_64	0.89	0.11	170	301	TC12-like tail fiber in mydovirus
RBPPD014	LIT_075_KL18_PROTEIN_78	0.87	0.15	173	300	TC10-like tail fiber in mydovirus - variant 2
RBPPD014	LIT_073_KL23KL54KL58_PROTEIN_99	0.75	0.09	170	300	TC12-like tail fiber in mydovirus
RBPPD014	LIT_021_KL22KL37_PROTEIN_87	0.72	0.17	1	108	GDSL-like lipase containing tail fiber
RBPPD015	LIT_021_KL22KL37_PROTEIN_87	1.0	0.18	121	223	GDSL-like lipase containing tail fiber
RBPPD017	LIT_021_KL22KL37_PROTEIN_90	1.0	0.66	1	361	GDSL-like lipase containing tailspike
RBPPD017	CONT_005_KL20_PROTEIN_6	0.8	0.57	10	334	GDSL-like lipase containing tailspike
RBPPD017	LIT_042_KL1KL2KL57_PROTEIN_46	0.79	0.56	13	333	GDSL-like lipase containing tailspike
RBPPD018	LIT_021_KL22KL37_PROTEIN_90	1.0	0.34	362	547	GDSL-like lipase containing tailspike
RBPPD018	CONT_005_KL20_PROTEIN_6	0.92	0.33	337	511	GDSL-like lipase containing tailspike
RBPPD018	LIT_042_KL1KL2KL57_PROTEIN_46	0.9	0.33	339	511	GDSL-like lipase containing tailspike
RBPPD019	LIT_035_KL24_PROTEIN_4	0.99	0.28	393	547	TC5-like tail fiber
RBPPD020	LIT_035_KL24_PROTEIN_4	1.0	0.2	1	112	TC5-like tail fiber
RBPPD022	CONT_001_KL10_PROTEIN_6	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	CONT_002_KL10_PROTEIN_39	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	CONT_005_KL20_PROTEIN_12	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	CONT_014_KL53_PROTEIN_33	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_014_KL30_PROTEIN_16	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_015_KL61_PROTEIN_39	0.99	0.49	67	486	T7 gp12 nozzle-like
RBPPD022	LIT_016_KL61_PROTEIN_36	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_037_KL106_PROTEIN_37	0.99	0.47	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_078_KL30KL35KL36_PROTEIN_43	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_080_KL11KL57_PROTEIN_40	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_081_KL58_PROTEIN_41	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_082_KL26KL74_PROTEIN_44	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_083_KL36KL43_PROTEIN_36	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_084_KL16_PROTEIN_42	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_085_KL56_PROTEIN_42	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_087_KL82_PROTEIN_39	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_088_KL2KL37_PROTEIN_41	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	REC_018_KL21_PROTEIN_36	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	REC_022_KL30KL69_PROTEIN_37	0.99	0.49	61	444	T7 gp12 nozzle-like
RBPPD022	REC_023_KL47_PROTEIN_37	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	REC_025_KL47_PROTEIN_38	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	REC_026_KL5KL8_PROTEIN_35	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	REC_030_KL56KN3_PROTEIN_36	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	REC_037_KL64_PROTEIN_38	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	REC_038_KL64_PROTEIN_36	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	REC_044_KN4_PROTEIN_40	0.99	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	CONT_017_KL58_PROTEIN_44	0.98	0.49	61	480	T7 gp12 nozzle-like
RBPPD022	LIT_079_KL74_PROTEIN_46	0.98	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	LIT_090_KL27_PROTEIN_43	0.98	0.49	61	444	T7 gp12 nozzle-like
RBPPD022	REC_019_KL21KL3_PROTEIN_38	0.98	0.48	61	480	T7 gp12 nozzle-like
RBPPD022	REC_024_KL47_PROTEIN_38	0.98	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	REC_041_KN1_PROTEIN_37	0.98	0.49	61	444	T7 gp12 nozzle-like
RBPPD022	LIT_036_KL106_PROTEIN_38	0.97	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	LIT_041_KL1KL2KL57_PROTEIN_40	0.97	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	LIT_042_KL1KL2KL57_PROTEIN_40	0.97	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	LIT_086_KL48_PROTEIN_43	0.97	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	LIT_089_KL36KL42_PROTEIN_43	0.97	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	LIT_091_KL1KL8_PROTEIN_42	0.97	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	LIT_097_Kn_PROTEIN_41	0.97	0.48	61	489	T7 gp12 nozzle-like
RBPPD022	REC_032_KL57_PROTEIN_42	0.97	0.48	61	444	T7 gp12 nozzle-like
RBPPD022	REC_042_KN1_PROTEIN_38	0.97	0.48	61	444	T7 gp12 nozzle-like
RBPPD026	LIT_043_KL47_PROTEIN_250	1.0	0.54	1	248	T4 gp12-like
RBPPD026	LIT_054_KL14_PROTEIN_235	0.98	0.53	1	248	T4 gp12-like
RBPPD026	LIT_055_KL14_PROTEIN_253	0.98	0.53	1	248	T4 gp12-like
RBPPD026	LIT_092_KL39KL41_PROTEIN_6	0.98	0.53	1	248	T4 gp12-like
RBPPD026	LIT_056_KL38_PROTEIN_91	0.95	0.51	1	248	T4 gp12-like
RBPPD026	LIT_057_KL28_PROTEIN_224	0.82	0.45	1	250	TC17-like tail fiber
RBPPD026	LIT_058_KL28_PROTEIN_226	0.81	0.45	1	250	TC17-like tail fiber
RBPPD026	LIT_072_Kn_PROTEIN_7	0.81	0.45	1	250	TC17-like tail fiber
RBPPD027	LIT_043_KL47_PROTEIN_250	1.0	0.46	249	461	T4 gp12-like
RBPPD027	LIT_092_KL39KL41_PROTEIN_6	0.87	0.4	249	461	T4 gp12-like
RBPPD027	LIT_054_KL14_PROTEIN_235	0.86	0.4	249	461	T4 gp12-like
RBPPD027	LIT_055_KL14_PROTEIN_253	0.86	0.4	249	461	T4 gp12-like
RBPPD027	LIT_056_KL38_PROTEIN_91	0.86	0.4	249	461	T4 gp12-like
RBPPD028	LIT_045_KL3_PROTEIN_88	1.0	0.16	1	85	TC15-like tail fiber in siphovirus - variant 1
RBPPD029	LIT_045_KL3_PROTEIN_88	1.0	0.84	86	538	TC15-like tail fiber in siphovirus - variant 1
RBPPD030	LIT_046_KL16_PROTEIN_159	1.0	0.58	1	275	TC16-like tail fiber
RBPPD031	LIT_046_KL16_PROTEIN_159	0.99	0.15	402	473	TC16-like tail fiber
RBPPD031	LIT_097_Kn_PROTEIN_46	0.76	0.1	498	573	TC16 tail fiber
RBPPD031	LIT_043_KL47_PROTEIN_46	0.75	0.04	1163	1239	T4 gp37-like
RBPPD032	LIT_046_KL16_PROTEIN_159	0.98	0.26	278	399	TC16-like tail fiber
RBPPD032	LIT_057_KL28_PROTEIN_37	0.74	0.06	580	694	T4 gp37-like
RBPPD033	LIT_050_KL3_PROTEIN_115	1.0	0.43	1	366	TC14-like tail fiber in sugarlandvirus - variant 2
RBPPD034	LIT_050_KL3_PROTEIN_115	1.0	0.35	367	661	TC14-like tail fiber in sugarlandvirus - variant 2
RBPPD035	LIT_050_KL3_PROTEIN_115	1.0	0.21	662	842	TC14-like tail fiber in sugarlandvirus - variant 2
RBPPD035	LIT_051_KL3_PROTEIN_115	0.87	0.19	665	842	TC14-like tail fiber in sugarlandvirus - variant 2
RBPPD036	LIT_058_KL28_PROTEIN_226	1.0	0.15	252	318	TC17-like tail fiber
RBPPD036	LIT_057_KL28_PROTEIN_224	0.99	0.15	253	318	TC17-like tail fiber
RBPPD036	LIT_072_Kn_PROTEIN_7	0.99	0.15	252	318	TC17-like tail fiber
RBPPD037	LIT_057_KL28_PROTEIN_224	1.0	0.29	319	448	TC17-like tail fiber
RBPPD038	LIT_057_KL28_PROTEIN_34	1.0	0.11	648	788	T4 gp34-like
RBPPD038	LIT_058_KL28_PROTEIN_36	1.0	0.11	648	788	T4 gp34-like
RBPPD038	LIT_054_KL14_PROTEIN_178	0.95	0.11	644	780	T4 gp34-like
RBPPD038	LIT_043_KL47_PROTEIN_43	0.94	0.11	644	780	T4 gp34-like
RBPPD038	LIT_072_Kn_PROTEIN_194	0.94	0.1	648	787	T4 gp34-like
RBPPD038	LIT_092_KL39KL41_PROTEIN_222	0.94	0.11	644	780	T4 gp34-like
RBPPD038	LIT_055_KL14_PROTEIN_38	0.78	0.09	644	780	T4 gp34-like
RBPPD038	LIT_056_KL38_PROTEIN_32	0.77	0.09	644	780	T4 gp34-like
RBPPD039	LIT_057_KL28_PROTEIN_34	1.0	0.07	1	91	T4 gp34-like
RBPPD039	LIT_072_Kn_PROTEIN_194	1.0	0.07	1	91	T4 gp34-like
RBPPD039	LIT_058_KL28_PROTEIN_36	0.99	0.07	1	91	T4 gp34-like
RBPPD039	LIT_043_KL47_PROTEIN_43	0.94	0.07	2	88	T4 gp34-like
RBPPD039	LIT_055_KL14_PROTEIN_38	0.94	0.07	2	88	T4 gp34-like
RBPPD039	LIT_054_KL14_PROTEIN_178	0.93	0.07	2	88	T4 gp34-like
RBPPD039	LIT_056_KL38_PROTEIN_32	0.91	0.07	6	88	T4 gp34-like
RBPPD039	LIT_092_KL39KL41_PROTEIN_222	0.91	0.07	6	88	T4 gp34-like
RBPPD040	LIT_057_KL28_PROTEIN_34	1.0	0.17	92	305	T4 gp34-like
RBPPD040	LIT_058_KL28_PROTEIN_36	1.0	0.17	92	305	T4 gp34-like
RBPPD040	LIT_072_Kn_PROTEIN_194	1.0	0.17	92	305	T4 gp34-like
RBPPD040	LIT_055_KL14_PROTEIN_38	0.95	0.16	89	304	T4 gp34-like
RBPPD040	LIT_092_KL39KL41_PROTEIN_222	0.95	0.16	89	304	T4 gp34-like
RBPPD040	LIT_043_KL47_PROTEIN_43	0.94	0.16	89	304	T4 gp34-like
RBPPD040	LIT_054_KL14_PROTEIN_178	0.94	0.16	89	304	T4 gp34-like
RBPPD040	LIT_056_KL38_PROTEIN_32	0.94	0.16	89	304	T4 gp34-like
RBPPD041	LIT_057_KL28_PROTEIN_34	0.99	0.14	307	481	T4 gp34-like
RBPPD041	LIT_058_KL28_PROTEIN_36	0.98	0.14	307	481	T4 gp34-like
RBPPD041	LIT_072_Kn_PROTEIN_194	0.98	0.13	307	481	T4 gp34-like
RBPPD041	LIT_043_KL47_PROTEIN_43	0.89	0.12	306	474	T4 gp34-like
RBPPD041	LIT_054_KL14_PROTEIN_178	0.89	0.12	306	474	T4 gp34-like
RBPPD041	LIT_092_KL39KL41_PROTEIN_222	0.81	0.11	306	474	T4 gp34-like
RBPPD042	LIT_057_KL28_PROTEIN_34	0.99	0.13	482	646	T4 gp34-like
RBPPD042	LIT_058_KL28_PROTEIN_36	0.99	0.13	482	646	T4 gp34-like
RBPPD042	LIT_072_Kn_PROTEIN_194	0.99	0.13	482	646	T4 gp34-like
RBPPD042	LIT_092_KL39KL41_PROTEIN_222	0.97	0.13	478	641	T4 gp34-like
RBPPD042	LIT_043_KL47_PROTEIN_43	0.96	0.13	478	641	T4 gp34-like
RBPPD042	LIT_054_KL14_PROTEIN_178	0.95	0.13	478	641	T4 gp34-like
RBPPD042	LIT_055_KL14_PROTEIN_38	0.95	0.13	478	641	T4 gp34-like
RBPPD043	LIT_057_KL28_PROTEIN_34	1.0	0.09	789	902	T4 gp34-like
RBPPD043	LIT_058_KL28_PROTEIN_36	1.0	0.09	789	902	T4 gp34-like
RBPPD043	LIT_043_KL47_PROTEIN_43	0.98	0.09	782	893	T4 gp34-like
RBPPD043	LIT_055_KL14_PROTEIN_38	0.98	0.09	782	893	T4 gp34-like
RBPPD043	LIT_056_KL38_PROTEIN_32	0.98	0.09	782	893	T4 gp34-like
RBPPD043	LIT_092_KL39KL41_PROTEIN_222	0.98	0.09	782	893	T4 gp34-like
RBPPD043	LIT_054_KL14_PROTEIN_178	0.97	0.09	782	893	T4 gp34-like
RBPPD043	LIT_072_Kn_PROTEIN_194	0.94	0.08	792	902	T4 gp34-like
RBPPD044	LIT_057_KL28_PROTEIN_34	0.99	0.15	904	1091	T4 gp34-like
RBPPD044	LIT_072_Kn_PROTEIN_194	0.75	0.11	904	1091	T4 gp34-like
RBPPD044	LIT_058_KL28_PROTEIN_36	0.74	0.11	904	1091	T4 gp34-like
RBPPD045	LIT_057_KL28_PROTEIN_34	1.0	0.15	1092	1281	T4 gp34-like
RBPPD045	LIT_058_KL28_PROTEIN_36	0.99	0.15	1092	1281	T4 gp34-like
RBPPD045	LIT_072_Kn_PROTEIN_194	0.99	0.15	1092	1281	T4 gp34-like
RBPPD045	LIT_043_KL47_PROTEIN_43	0.92	0.14	1072	1257	T4 gp34-like
RBPPD045	LIT_056_KL38_PROTEIN_32	0.92	0.14	1072	1257	T4 gp34-like
RBPPD045	LIT_092_KL39KL41_PROTEIN_222	0.92	0.14	1072	1257	T4 gp34-like
RBPPD045	LIT_054_KL14_PROTEIN_178	0.91	0.14	1072	1257	T4 gp34-like
RBPPD045	LIT_055_KL14_PROTEIN_38	0.91	0.14	1072	1257	T4 gp34-like
RBPPD046	LIT_057_KL28_PROTEIN_36	1.0	0.27	169	230	T4 gp36-like
RBPPD046	LIT_058_KL28_PROTEIN_38	0.99	0.29	155	216	T4 gp36-like
RBPPD046	LIT_072_Kn_PROTEIN_192	0.99	0.29	154	215	T4 gp36-like
RBPPD046	LIT_054_KL14_PROTEIN_176	0.95	0.26	162	222	T4 gp36-like
RBPPD046	LIT_055_KL14_PROTEIN_40	0.95	0.27	162	222	T4 gp36-like
RBPPD046	LIT_056_KL38_PROTEIN_30	0.95	0.27	162	222	T4 gp36-like
RBPPD046	LIT_092_KL39KL41_PROTEIN_220	0.94	0.26	162	222	T4 gp36-like
RBPPD046	LIT_043_KL47_PROTEIN_45	0.93	0.26	162	222	T4 gp36-like
RBPPD047	LIT_057_KL28_PROTEIN_36	0.99	0.73	1	167	T4 gp36-like
RBPPD047	LIT_043_KL47_PROTEIN_45	0.94	0.71	1	160	T4 gp36-like
RBPPD047	LIT_055_KL14_PROTEIN_40	0.94	0.71	1	160	T4 gp36-like
RBPPD047	LIT_056_KL38_PROTEIN_30	0.94	0.71	1	160	T4 gp36-like
RBPPD047	LIT_054_KL14_PROTEIN_176	0.93	0.71	1	160	T4 gp36-like
RBPPD047	LIT_092_KL39KL41_PROTEIN_220	0.93	0.71	1	160	T4 gp36-like
RBPPD047	LIT_072_Kn_PROTEIN_192	0.81	0.63	1	152	T4 gp36-like
RBPPD047	LIT_058_KL28_PROTEIN_38	0.8	0.62	1	153	T4 gp36-like
RBPPD048	LIT_057_KL28_PROTEIN_37	0.99	0.12	239	418	T4 gp37-like
RBPPD048	LIT_072_Kn_PROTEIN_191	0.99	0.12	238	417	T4 gp37-like
RBPPD048	LIT_058_KL28_PROTEIN_39	0.98	0.12	238	417	T4 gp37-like
RBPPD048	LIT_056_KL38_PROTEIN_29	0.88	0.12	231	402	T4 gp37-like
RBPPD048	LIT_043_KL47_PROTEIN_46	0.87	0.13	235	405	T4 gp37-like
RBPPD048	LIT_054_KL14_PROTEIN_175	0.87	0.12	231	402	T4 gp37-like
RBPPD048	LIT_092_KL39KL41_PROTEIN_219	0.87	0.13	231	402	T4 gp37-like
RBPPD048	LIT_055_KL14_PROTEIN_41	0.86	0.12	231	403	T4 gp37-like
RBPPD048	LIT_123_KL43KL50KL69_PROTEIN_28	0.85	0.12	299	461	L-shaped tail fiber-like
RBPPD048	REC_029_KL54_PROTEIN_554	0.77	0.24	274	434	RaK2 gp526-like
